AJUD,TOPOID,SEGNUM,START,END,SPAWN,CUTOFF,DEGREES,ROT_QUAT
CHKD,extra_westunderpasses,3,[-809.9284996619591  -482.41676917442913],[-742.6669209798177  -557.3550211588541],[-823.3858642578125  -467.3860379732572 96.99],[-727.4255574544271  -574.2233683268229],-227.9857645560109,[ 0.          0.         -0.91359598 -0.40662315]
CHKD,Lturnpasswarehouse,7,[41.94452412923177  150.63944498697916],[129.0098114013672  105.34484100341797],[25.446878814697264  163.9146270751953 127.5],[170.8973388671875  124.81029510498047],-218.8142716935981,[ 0.          0.          0.3322786008372761 -0.9431812823766289]
CHKD,Rturn_servicecutthru,3,[-378.74227142333984  112.48717880249023],[-332.5069413618608  25.85803239995785],[-378.4651930067274  133.97843594021282 29.6],[-318.08831787109375  9.638197898864746],85.64109228579514,[0.         0.         -0.038029428088254234  0.9992766196600821]
CHKDREV,Rturn_industrialrc_asphaltc,9,[37.540002825927734  60.00270526123047],[101.2219009399414  11.206724166870117],[16.82001304626465  61.50508117675781 42.99],[79.54990059988839  8.903447832380023],-182.3088113455288,[ 0.          0.         0.7212092005166132 -0.6927173226433619]
CHKDREV,extrawinding_industrial7978,3,[38.177417877197266  -155.60453552246094],[4.671845436096191  -246.19906616210938],[44.07415771484375  -134.2833709716797 42.99],[15.358491897583008  -262.1807556152344],73.99378348992748,[0.         0.         0.03484531714288924  0.999392717540613]
CHKD,extra_dock,2,[-779.6979827880859  885.0308074951172],[-880.1077270507812  884.3265380859375],[-758.4402465820312  882.3154907226562 74.99],[-901.1583956204928  883.9565946138822],-10.87333712706499,[ 0.          0.        0.7611233617554534  0.6486071447263568]
CHKDrev,extra_utahlong,2,[-472.247131301464844  -872.5958250390625],[-375.3912353515625  -859.4929809570312],[-499.58709716796875  -859.1820678710938 139.99],[-348.32452392578125  -856.2418823242188],-215.63090307805126,[ 0.          0.         -0.95204692 -0.30595206]
CHKD,extrawinding_industrial7978,0,[33.13486099243164  -187.89051818847656],[26.236143112182617  -265.8550720214844],[36.338829040527344  -167.92835998535156 42.99],[41.287967681884766  -271.3102722167969],89.50924849672016,[0.         0.         -0.004282564098675361 0.9999908297803239]
CHKDREV,extra_windingtrack,9,[-407.2975769042969  -15.115618515014648],[-414.222  58.410045],[-410.47 -50.7874 48.7],[-414.2222900390625  58.4100456237793],-199.47835732226844,[0.0 0.0 0.94991528987885 0.31236451864243]
CHKD,extra_jungledrift_road_d,7,[-324.958251953125  -731.504150390625],[-264.3863525390625  -697.14794921875],[-335.23 -697.242 159.99],[-269.26849365234375  -675.0235595703125],88.36324328020517,[-0.07297942083636516 0.004414650170892502 0.019472574925309946 -0.997133558669066]